Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Concurrency,Mean,Error,StdDev,P95,Ratio,RatioSD,Op/s,Gen0,Allocated,Alloc Ratio
Bolt_Hub,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,1,123.95 μs,21.246 μs,14.053 μs,142.86 μs,0.52,0.07,"8,068",0.0000,7.01 KB,1.18
Bolt_Direct,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,1,70.24 μs,6.351 μs,3.322 μs,73.45 μs,0.30,0.03,"14,236",0.0000,4.32 KB,0.73
GRPC_Hub,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,1,384.15 μs,115.109 μs,68.499 μs,489.71 μs,1.62,0.31,"2,603",0.0000,19.71 KB,3.32
GRPC_Direct,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,1,196.16 μs,56.679 μs,37.489 μs,254.00 μs,0.83,0.17,"5,098",0.0000,8.64 KB,1.45
SignalR_Hub,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,1,238.52 μs,30.794 μs,20.368 μs,261.03 μs,1.01,0.12,"4,192",0.0000,5.94 KB,1.00
Bolt_Hub,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,64,"3,102.91 μs",555.843 μs,367.656 μs,"3,663.90 μs",0.65,0.11,322,7.8125,395.07 KB,1.05
Bolt_Direct,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,64,"2,240.69 μs",393.264 μs,260.120 μs,"2,626.95 μs",0.47,0.08,446,3.9063,243.59 KB,0.65
GRPC_Hub,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,64,"2,761.95 μs",713.022 μs,471.620 μs,"3,305.75 μs",0.58,0.12,362,23.4375,1300.28 KB,3.44
GRPC_Direct,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,64,"1,685.58 μs",216.361 μs,128.753 μs,"1,790.76 μs",0.35,0.05,593,11.7188,585.32 KB,1.55
SignalR_Hub,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,1,Default,Default,Default,Default,Default,Default,16,3,64,"4,843.90 μs","1,003.789 μs",597.339 μs,"5,622.32 μs",1.01,0.17,206,0.0000,377.64 KB,1.00
