Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,PayloadBytes,Mean,Error,StdDev,Median,P95,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,100,198.5 μs,17.00 μs,31.09 μs,196.5 μs,256.3 μs,1.02,0.22,0.0000,0.0000,0.0000,5.84 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,1024,188.8 μs,17.31 μs,32.09 μs,184.2 μs,247.9 μs,1.03,0.25,0.0000,0.0000,0.0000,6.74 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,32768,335.8 μs,30.20 μs,56.72 μs,335.3 μs,435.3 μs,1.03,0.24,0.0000,0.0000,0.0000,37.76 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,131072,805.7 μs,109.00 μs,202.04 μs,718.8 μs,"1,184.4 μs",1.05,0.35,0.0000,0.0000,0.0000,135.41 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,524288,"3,366.8 μs",290.08 μs,544.84 μs,"3,320.1 μs","4,097.7 μs",1.03,0.23,7.8125,7.8125,7.8125,519.92 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,1048576,"8,887.9 μs",939.89 μs,"1,788.23 μs","9,013.5 μs","11,169.5 μs",1.05,0.34,15.6250,15.6250,15.6250,1063.59 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,2097152,"12,227.2 μs","1,259.55 μs","2,396.43 μs","12,546.5 μs","16,064.7 μs",1.05,0.32,0.0000,0.0000,0.0000,2106.19 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,5242880,"22,553.5 μs","2,574.87 μs","4,898.95 μs","22,698.8 μs","30,312.1 μs",1.05,0.34,0.0000,0.0000,0.0000,5231.05 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,10485760,"47,740.7 μs","4,243.09 μs","7,969.55 μs","45,993.0 μs","60,797.6 μs",1.03,0.24,0.0000,0.0000,0.0000,10442.1 KB,1.00
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,20971520,"88,449.4 μs","7,551.52 μs","13,997.23 μs","88,151.8 μs","110,707.7 μs",1.03,0.23,0.0000,0.0000,0.0000,20946.14 KB,1.00
