Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,PayloadBytes,Mean,Error,StdDev,P95,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,100,195.5 μs,16.03 μs,29.71 μs,247.3 μs,1.02,0.22,0.0000,0.0000,0.0000,5.84 KB,1.00
GRPC_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,100,302.7 μs,66.13 μs,122.58 μs,491.2 μs,1.58,0.69,0.0000,0.0000,0.0000,8.68 KB,1.49
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,1024,266.1 μs,25.38 μs,47.66 μs,375.3 μs,1.03,0.24,0.0000,0.0000,0.0000,6.74 KB,1.00
GRPC_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,1024,357.2 μs,36.81 μs,68.23 μs,471.4 μs,1.38,0.34,0.0000,0.0000,0.0000,10.48 KB,1.55
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,32768,377.1 μs,24.27 μs,43.77 μs,435.7 μs,1.01,0.17,0.0000,0.0000,0.0000,37.76 KB,1.00
GRPC_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,32768,497.8 μs,64.72 μs,123.14 μs,685.9 μs,1.34,0.36,0.0000,0.0000,0.0000,73.47 KB,1.95
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,131072,"1,009.8 μs",87.21 μs,159.46 μs,"1,294.4 μs",1.02,0.22,0.0000,0.0000,0.0000,135.4 KB,1.00
GRPC_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,131072,"1,262.5 μs",79.59 μs,151.44 μs,"1,513.0 μs",1.28,0.24,3.9063,3.9063,3.9063,268.9 KB,1.99
Bolt_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,524288,"4,595.5 μs",507.40 μs,965.37 μs,"6,281.1 μs",1.05,0.32,0.0000,0.0000,0.0000,519.68 KB,1.00
GRPC_Echo,PayloadCredible,False,Default,Default,Default,Default,250ms,Default,111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,15,Default,3,Default,Default,Default,Default,Default,Default,16,5,524288,"4,440.3 μs",346.03 μs,658.36 μs,"5,605.0 μs",1.01,0.27,15.6250,15.6250,15.6250,1062.17 KB,2.04
